"Country Name,""Country Code"",""Indicator Name"",""Indicator Code"",""1960"",""1961"",""1962"",""1963"",""1964"",""1965"",""1966"",""1967"",""1968"",""1969"",""1970"",""1971"",""1972"",""1973"",""1974"",""1975"",""1976"",""1977"",""1978"",""1979"",""1980"",""1981"",""1982"",""1983"",""1984"",""1985"",""1986"",""1987"",""1988"",""1989"",""1990"",""1991"",""1992"",""1993"",""1994"",""1995"",""1996"",""1997"",""1998"",""1999"",""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"","
"Burundi,""BDI"",""CPIA structural policies cluster average (1=low to 6=high)"",""IQ.CPA.STRC.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2.83333333333333"",""3"",""3"",""2.8"",""3"",""3"",""3.16666666666667"",""3.33333333333333"",""3.33333333333333"",""3.33333"",""3.33333333333333"",""3.33333333333333"",""3.16666666666667"",""3.16666666666667"",""3.16666666666667"","""","
"Belgium,""BEL"",""CPIA structural policies cluster average (1=low to 6=high)"",""IQ.CPA.STRC.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Benin,""BEN"",""CPIA structural policies cluster average (1=low to 6=high)"",""IQ.CPA.STRC.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""4"",""3.83333333333333"",""3.66666666666667"",""3.7"",""3.66666666666667"",""3.66666666666667"",""3.66666666666667"",""3.5"",""3.5"",""3.5"",""3.5"",""3.16666666666667"",""3.33333333333333"",""3.33333333333333"",""3.33333333333333"","""","
"Burkina Faso,""BFA"",""CPIA structural policies cluster average (1=low to 6=high)"",""IQ.CPA.STRC.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""3.33333333333333"",""3.33333333333333"",""3.33333333333333"",""3.5"",""3.5"",""3.5"",""3.5"",""3.5"",""3.5"",""3.5"",""3.5"",""3.5"",""3.5"",""3.5"",""3.5"","""","
"Bangladesh,""BGD"",""CPIA structural policies cluster average (1=low to 6=high)"",""IQ.CPA.STRC.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""3.16666666666667"",""3.33333333333333"",""3.33333333333333"",""3.3"",""3.5"",""3.33333333333333"",""3.33333333333333"",""3.33333333333333"",""3.16666666666667"",""3.16667"",""3"",""3"",""3"",""3"",""2.833333"","""","
"Bulgaria,""BGR"",""CPIA structural policies cluster average (1=low to 6=high)"",""IQ.CPA.STRC.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Bahrain,""BHR"",""CPIA structural policies cluster average (1=low to 6=high)"",""IQ.CPA.STRC.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Bahamas, The,""BHS"",""CPIA structural policies cluster average (1=low to 6=high)"",""IQ.CPA.STRC.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Bosnia and Herzegovina,""BIH"",""CPIA structural policies cluster average (1=low to 6=high)"",""IQ.CPA.STRC.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""3.83333333333333"",""3.66666666666667"",""3.83333333333333"",""4"",""4"",""4"",""3.83333333333333"",""3.83333333333333"",""3.66666666666667"","""","""","""","""","""","""","""","
"Belarus,""BLR"",""CPIA structural policies cluster average (1=low to 6=high)"",""IQ.CPA.STRC.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Belize,""BLZ"",""CPIA structural policies cluster average (1=low to 6=high)"",""IQ.CPA.STRC.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Bermuda,""BMU"",""CPIA structural policies cluster average (1=low to 6=high)"",""IQ.CPA.STRC.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Bolivia,""BOL"",""CPIA structural policies cluster average (1=low to 6=high)"",""IQ.CPA.STRC.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""3.83333333333333"",""3.66666666666667"",""3.66666666666667"",""3.8"",""3.83333333333333"",""3.66666666666667"",""3.5"",""3.5"",""3.33333333333333"",""3.33333"",""3.33333"","""","""","""","""","""","
"Brazil,""BRA"",""CPIA structural policies cluster average (1=low to 6=high)"",""IQ.CPA.STRC.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Barbados,""BRB"",""CPIA structural policies cluster average (1=low to 6=high)"",""IQ.CPA.STRC.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Brunei Darussalam,""BRN"",""CPIA structural policies cluster average (1=low to 6=high)"",""IQ.CPA.STRC.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Bhutan,""BTN"",""CPIA structural policies cluster average (1=low to 6=high)"",""IQ.CPA.STRC.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""3.16666666666667"",""3.16666666666667"",""3.16666666666667"",""3.2"",""3.16666666666667"",""3.16666666666667"",""3.33333333333333"",""3.16666666666667"",""3.16666666666667"",""3.33333"",""3.16667"",""3.33333"",""3.33333333333333"",""3.33333333333333"",""3.333333"","""","
"Botswana,""BWA"",""CPIA structural policies cluster average (1=low to 6=high)"",""IQ.CPA.STRC.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Central African Republic,""CAF"",""CPIA structural policies cluster average (1=low to 6=high)"",""IQ.CPA.STRC.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2.66666666666667"",""2.66666666666667"",""2.66666666666667"",""2.7"",""2.66666666666667"",""2.66666666666667"",""2.5"",""2.5"",""2.5"",""2.5"",""2.33333"",""2.33333333333333"",""2.5"",""2.5"",""2.5"","""","
"Canada,""CAN"",""CPIA structural policies cluster average (1=low to 6=high)"",""IQ.CPA.STRC.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Central Europe and the Baltics,""CEB"",""CPIA structural policies cluster average (1=low to 6=high)"",""IQ.CPA.STRC.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Switzerland,""CHE"",""CPIA structural policies cluster average (1=low to 6=high)"",""IQ.CPA.STRC.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
